PROGRAM,STATECITY_SECTION8_FLAG,Total Families,Total Female Headed Families,Total Male Headed Families,Total Population,Average Family Size,Total Minors Under 18,Average Minors per Family,Total Minors as Percent of Population,All Average Total Gross Income,All Average Gross Rent,Total HOH 62 Years and Over,Total HOH 62 Years and Over as Percent of Families,Total Female Headed HOH 62 Years and Over,Total Male Headed HOH 62 Years and Over,Total Elderly Single Person Families,Total Elderly Population,Total 62 Years and Over as Percent of Population,Total Families on Welfare,Total Families on Welfare and HOH Elderly,Total Families on Full Welfare,Total Families on Welfare as Percent of Families,Total Single Parent/Grandparent Families with Minors,Total Female Headed Single Parent/Grandparent with Minors,Total Male Headed Single Parent/Grandparent with Minors,Total Single Parent/Grandparent Families on Welfare,Total Single Parent/Grandparent with Minors as % of Families,Total Families - 1 or More Employed,Total Families - 1 or More Employed as Percent of Families,Total Families - 2nd Adult Employed,All Families Average Years in Public Housing,Residents Under 4,Residents 4 to 5,Residents 6 to 9,Residents 10 to 13,Residents 14 to 17,Residents 18 to 20,Residents 21 to 49,Residents 50 to 61,Residents 62 Plus,Total Fixed Income Families,Total Fixed Income Families as Percent of Families
FEDERAL,TOTAL HOUSEHOLDS,151672,117720,33952,337663,2.2,88221,0.6,26.13,"$25,018",$533,60956,40.19,43789,17167,35576,72617,21.51,19565,1977,8998,12.9,24113,22614,1499,6922,15.9,7019300,46.28,17233,23.2,11471,8949,20946,23112,23743,18784,110734,47302,72617,61897,0.4081
FORMER NEW YORK STATE,TOTAL HOUSEHOLDS,11236,8233,3003,26711,2.4,7405,0.7,27.72,"$24,470",$520,4353,38.74,2951,1402,2359,5260,19.69,1468,133,634,13.07,1453,1304,149,371,12.93,501400,44.62,1239,23.3,908,707,1735,2008,2047,1636,8689,3721,5260,4649,0.4138
FORMER NEW YORK STATE,PUBLIC HOUSING HOUSEHOLDS,9121,6654,2467,21093,2.3,5073,0.6,24.05,"$25,686",$540,4061,44.52,2833,1228,2145,4944,23.44,896,112,366,9.82,1306,1177,129,324,14.32,421100,46.17,1111,27.1,633,526,1241,1325,1348,1184,6765,3127,4944,3902,0.4278
FORMER NEW YORK STATE,SECTION 8 TRANSITION HOUSEHOLDS,2115,1579,536,5618,2.7,2332,1.1,41.51,"$19,291",$437,292,13.81,118,174,214,316,5.62,572,21,268,27.04,147,127,20,47,6.95,80300,37.97,128,6.7,275,181,494,683,699,452,1924,594,316,747,0.3532
FORMER NEW YORK CITY,TOTAL HOUSEHOLDS,7832,6205,1627,16785,2.1,4673,0.6,27.84,"$25,557",$541,2533,32.34,1815,718,1530,2929,17.45,1113,78,532,14.21,1094,1026,68,272,13.97,357000,45.58,652,20.7,670,453,1081,1258,1211,941,5892,2349,2929,3037,0.3878
FORMER NEW YORK CITY,PUBLIC HOUSING HOUSEHOLDS,6077,4827,1250,12442,2,2904,0.5,23.34,"$27,650",$577,2306,37.95,1715,591,1365,2677,21.52,653,56,299,10.75,1003,941,62,250,16.5,289000,47.56,569,24.8,453,291,702,718,740,652,4294,1914,2677,2435,0.4007
FORMER NEW YORK CITY,SECTION 8 TRANSITION HOUSEHOLDS,1755,1378,377,4343,2.5,1769,1,40.73,"$18,382",$416,227,12.93,100,127,165,252,5.8,460,22,233,26.21,91,85,6,22,5.19,68000,38.75,83,6.5,217,162,379,540,471,289,1598,435,252,602,0.343
MIXED FINANCE (LLC1 AND LLC2),TOTAL HOUSEHOLDS,19068,14438,4630,43496,2.3,12078,0.6,27.77,"$24,918",$529,6886,36.11,4766,2120,3889,8189,18.83,2581,211,1166,13.54,2547,2330,217,643,13.36,858400,45.02,1891,22.2,1578,1160,2816,3266,3258,2577,14581,6070,8189,7686,0.4031
MIXED FINANCE (LLC1 AND LLC2),PUBLIC HOUSING HOUSEHOLDS,15198,11481,3717,33535,2.2,7977,0.5,23.79,"$26,473",$555,6367,41.89,4548,1819,3510,7621,22.73,1549,168,665,10.19,2309,2118,191,574,15.19,710100,46.72,1680,26.2,1086,817,1943,2043,2088,1836,11059,5041,7621,6337,0.417
MIXED FINANCE (LLC1 AND LLC2),SECTION 8 TRANSITION HOUSEHOLDS,3870,2957,913,9961,2.6,4101,1.1,41.17,"$18,878",$427,519,13.41,218,301,379,568,5.7,1032,43,501,26.67,238,212,26,69,6.15,148300,38.32,211,6.6,492,343,873,1223,1170,741,3522,1029,568,1349,0.3486
MIXED FINANCE/LLC1,TOTAL HOUSEHOLDS,14231,10896,3335,33008,2.3,9195,0.6,27.86,"$24,942",$531,5094,35.8,3555,1539,2840,6085,18.43,1967,162,852,13.82,2089,1914,175,544,14.68,652200,45.83,1457,21.7,1139,882,2119,2531,2524,2033,11053,4642,6085,5631,0.3957
MIXED FINANCE/LLC1,PUBLIC HOUSING HOUSEHOLDS,11656,8887,2769,26177,2.2,6374,0.5,24.35,"$26,265",$554,4746,40.72,3405,1341,2588,5698,21.77,1277,133,540,10.96,1926,1770,156,499,16.52,551300,47.3,1310,24.9,824,647,1539,1676,1688,1479,8658,3968,5698,4755,0.4079
MIXED FINANCE/LLC1,SECTION 8 TRANSITION HOUSEHOLDS,2575,2009,566,6831,2.7,2821,1.1,41.3,"$19,021",$427,348,13.51,150,198,252,387,5.67,690,29,312,26.8,163,144,19,45,6.33,100900,39.18,147,6.8,315,235,580,855,836,554,2395,674,387,876,0.3402
