nta_name,nta_code,borough,in_labor_force,civilian_labor_force,employed,unemployed,armed_forces,not_in_labor_force,workers_16+,vehicle,carpool,public_transit,walking,other_commuting_means,work_at_home,mean_commuting_time_(min),occ_civilian_employed_16+,mng_biz_sci_arts,service,sales_office,natres_construct_maint,prod_transport_moving,class_civilian_employed_16+,salary_workers,govt_workers,self-employed,unpaid_family_workers,total_households,hincome_10K_under,hincome_10K_15K,hincome_15K_25K,hincome_25K_35K,hincome_35K_50K,hincome_50K_75K,hincome_75K_100K,hincome_100K_150K,hincome_150K_200K,hincome_200K_more,median_hincome,mean_hincome,median_earnings,median_earnings_male,median_earnings_female,all_families,all_families_below_poverty,pop_poverty_status_determ,pop_below_poverty
Allerton-Pelham Gardens,BX31,Bronx,15835,15835,14887,948,0,10779,14471,6198,967,6208,598,120,380,44.0,14887,5430,3502,3164,1195,1596,14887,11398,2844,604,41,9634,510,389,838,726,1073,1476,1372,1784,759,707,71414.0,88250.0,39182.0,50078.0,49112.0,7344,601,30243,3434
Bedford Park-Fordham North,BX05,Bronx,29295,29269,25755,3514,26,14923,24837,3502,876,17346,2159,388,566,43.7,25755,4397,9900,5432,2037,3989,25755,21777,2489,1466,23,19447,2608,1874,2550,2232,2602,3680,1998,1270,280,353,37282.0,54033.0,25194.0,35131.0,33773.0,13366,3979,57380,18625
Belmont,BX06,Bronx,12206,12191,10284,1907,15,10208,9854,1354,346,5652,1671,266,565,42.4,10284,1947,3609,2364,1063,1301,10284,8743,1029,504,8,9100,1615,1120,1456,1129,1371,1386,396,579,6,42,28484.0,38077.0,16113.0,32700.0,28710.0,5856,1967,26275,10141
Bronxdale,BX07,Bronx,18614,18614,16251,2363,0,12042,15816,4018,518,9368,1221,302,389,46.1,16251,4045,4686,3720,1769,2031,16251,13011,2328,881,31,14562,1957,1761,1799,1179,2229,2492,1291,1260,410,184,38587.0,50720.0,29471.0,39626.0,39773.0,9260,2372,38787,10503
Claremont-Bathgate,BX01,Bronx,13226,13226,11111,2115,0,11830,10675,1573,311,7424,805,163,399,48.5,11111,1771,5210,2091,530,1509,11111,8981,1485,626,19,11131,2235,1805,1514,1528,1596,1285,529,475,130,34,25061.0,37407.0,20295.0,37323.0,33137.0,7621,3307,34558,15763
Co-op City,BX13,Bronx,23143,23143,21153,1990,0,16815,20546,6406,731,11410,1299,340,360,50.7,21153,6967,5497,6222,1327,1140,21153,14986,5555,612,0,19687,1270,1362,1717,2325,2898,3720,2657,2527,947,264,51613.0,63295.0,40177.0,51351.0,45256.0,11248,1004,45471,4975
Crotona Park East,BX75,Bronx,9857,9857,8851,1006,0,6859,8445,1706,512,5349,506,103,269,41.2,8851,1863,3279,1765,758,1186,8851,7022,1303,526,0,7849,1769,1143,1223,701,997,837,537,275,197,170,22123.0,43896.0,22303.0,32745.0,33702.0,4947,1998,21995,8938
East Concourse-Concourse Village,BX14,Bronx,29413,29413,26243,3170,0,20651,25392,3728,845,17436,2052,537,794,41.7,26243,5318,10896,4821,1130,4078,26243,21174,3148,1886,35,22700,3740,2591,3358,2373,3026,3445,2037,1439,387,304,32012.0,46920.0,23338.0,37644.0,32858.0,14215,4382,63568,21901
East Tremont,BX17,Bronx,18560,18560,15621,2939,0,14542,14958,2978,392,9743,929,335,581,44.6,15621,2699,6489,3517,879,2037,15621,12512,1959,1150,0,15289,3133,2115,2666,1712,1658,2157,880,678,188,102,23863.0,38738.0,20535.0,38075.0,28472.0,10048,3801,43169,17330
Eastchester-Edenwald-Baychester,BX03,Bronx,18506,18506,16949,1557,0,12102,16315,5785,1071,8322,754,240,143,49.6,16949,5102,5428,3468,1218,1733,16949,12797,3484,644,24,12038,889,749,1136,1434,1434,2025,1404,1621,894,452,54568.0,73035.0,31963.0,42715.0,42245.0,8943,1309,37371,6566
Fordham South,BX40,Bronx,12472,12472,10574,1898,0,7980,10258,1345,327,7225,789,47,525,46.4,10574,1688,4671,2380,633,1202,10574,8895,854,825,0,8970,1825,1005,1549,909,1457,1036,682,405,85,17,26122.0,36767.0,20968.0,28024.0,29538.0,6256,2690,27897,12485
Highbridge,BX26,Bronx,17351,17332,15508,1824,19,11513,15056,2360,599,10145,1302,322,328,43.3,15508,2805,5671,3703,657,2672,15508,13182,1815,496,15,13498,2313,1525,2096,1929,1743,1938,918,801,127,108,28803.0,39706.0,23669.0,35183.0,30771.0,8825,3141,38816,14695
Hunts Point,BX27,Bronx,10012,10012,8920,1092,0,9812,8736,1425,240,5566,1012,120,373,43.6,8920,1524,3542,1727,705,1422,8920,7767,754,399,0,8487,1932,955,1409,924,1310,878,493,393,87,106,24594.0,38489.0,22424.0,32540.0,27543.0,5637,2014,25293,10009
Kingsbridge Heights,BX30,Bronx,15920,15920,14362,1558,0,8703,13996,1817,344,9884,1081,232,638,45.2,14362,2217,5503,3071,1185,2386,14362,12092,1361,888,21,11203,1555,1140,1792,1126,1609,1754,1207,659,268,93,34877.0,46817.0,22824.0,35159.0,27190.0,7417,1862,31476,8560
Longwood,BX33,Bronx,11957,11945,10366,1579,12,8961,10051,1309,414,7093,735,258,242,46.2,10366,2217,3738,2463,538,1410,10366,8457,1296,610,3,9183,1537,1385,1241,1255,1222,1115,639,542,133,114,28182.0,42083.0,23372.0,35125.0,31195.0,6088,2016,27353,9912
Melrose South-Mott Haven North,BX34,Bronx,17344,17344,15471,1873,0,13878,15102,2290,594,9886,1368,291,673,42.4,15471,2900,5905,3705,1028,1933,15471,13060,1565,846,0,14725,2986,1898,2063,1960,1968,1718,1054,574,272,232,26860.0,45094.0,23609.0,32250.0,31579.0,9542,3410,42675,17040
Morrisania-Melrose,BX35,Bronx,18110,18100,16110,1990,10,12991,15614,2995,345,10056,1529,253,436,43.7,16110,3050,6474,3301,966,2319,16110,12983,2218,869,40,14449,2446,1570,2632,1562,1847,1851,1172,965,188,216,28862.0,47047.0,25347.0,33702.0,36169.0,9617,2906,40591,13766
